,cumulative_irrigation_cm,scheme,0.0,6.25,12.5,18.75,25.0
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_2_-_1_0_hours_Cross-Section_No_8_-_200cm.txt,19.1,1,0.09018895,0.09018895,0.09018896,0.09018896,0.09018897
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_3_-_2_0_hours_Cross-Section_No_8_-_200cm.txt,38.2,1,0.09018895,0.09018895,0.09018897,0.09018895,0.09018897
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_9_-_8_0_hours_Cross-Section_No_8_-_200cm.txt,152.79,1,0.09018896,0.09018897,0.09018897,0.09018896,0.09018896
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_44_-_88_0_hours_Cross-Section_No_8_-_200cm.txt,1680.68,1,0.2604964,0.2605332,0.2605332,0.260534,0.2605485
, , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_2_-_1_0_hours_Cross-Section_No_8_-_200cm.txt,19.1,2,0.09018895,0.09018895,0.09018896,0.09018896,0.09018897
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_3_-_2_0_hours_Cross-Section_No_8_-_200cm.txt,38.2,2,0.09018895,0.09018895,0.09018897,0.09018895,0.09018897
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_10_-_48_0_hours_Cross-Section_No_8_-_200cm.txt,152.79,2,0.09018894,0.09018897,0.09018897,0.09018895,0.09018897
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_39_-_384_0_hours_Cross-Section_No_8_-_200cm.txt,1680.68,2,0.2447818,0.2437843,0.2437601,0.2437637,0.2427631
, , , , , , , 
